,SiteName2.x,CoreName_2,compaction factor,
174,Taylor's Head,NS-TH-3-SG-3-15.1-20,,
175,Taylor's Head,NS-TH-3-SG-3-2.1-5,,
176,Taylor's Head,NS-TH-3-SG-3-20.1-25,,
177,Taylor's Head,NS-TH-3-SG-3-25.1-30,,
178,Taylor's Head,NS-TH-3-SG-3-30.1-35,,
179,Taylor's Head,NS-TH-3-SG-3-35.1-40,,
180,Taylor's Head,NS-TH-3-SG-3-40.1-45,,
181,Taylor's Head,NS-TH-3-SG-3-5.1-10,,
182,Taylor's Head,NS-TH-4-SG-4-0-2,,
183,Taylor's Head,NS-TH-4-SG-4-10.1-15,,
184,Taylor's Head,NS-TH-4-SG-4-15.1-20,,
185,Taylor's Head,NS-TH-4-SG-4-2.1-5,,
186,Taylor's Head,NS-TH-4-SG-4-20.1-25,,
187,Taylor's Head,NS-TH-4-SG-4-25.1-30,,
188,Taylor's Head,NS-TH-4-SG-4-30.1-35,,
189,Taylor's Head,NS-TH-4-SG-4-35.1-40,,
190,Taylor's Head,NS-TH-4-SG-4-40.1-45,,
191,Taylor's Head,NS-TH-4-SG-4-5.1-10,,
192,Taylor's Head,NS-TH-5-BA-5-0-2,,
193,Taylor's Head,NS-TH-5-BA-5-30.1-35,,
194,Taylor's Head,NS-TH-5-BA-5-35.1-42,,
195,Taylor's Head Deep,NS-THd-1-SG-1,,
196,Taylor's Head Deep,NS-THd-2-BA-2,,
197,Taylor's Head Deep,NS-THd-3-BA-3,,
198,Taylor's Head Deep,NS-THd-4-SG-4,,
1,Annandale,PEI-ANN-1-BA-,0.662,0.66
2,Annandale,PEI-ANN-2-BA-,0.65,0.62
3,Annandale,PEI-ANN-3-SG-,0.63,0.63
4,Annandale,PEI-ANN-5-SG-,0.59,0.59
7,Cardigan,PEI-CAR-1-BA-,0.78,4.92
8,Cardigan,PEI-CAR-2-BA-,0.68,0.68
9,Cardigan,PEI-CAR-3-SG-,0.650306749,0.65
10,Cardigan,PEI-CAR-4-SG-,0.85,0.86
11,Cardigan,PEI-CAR-5-SG-,0.846905538,0.84
