"","Site","CoreName_2","REI_Scaled","Type","Watercourse_NEAR_DIST.x","c_100","c_60","c_25"
"71","Taylor's Head","NS-TH-3-SG-3",0.686227353,"SG",18787.93701,0.328532783709156,0.311734806902761,0.229026154974168
"72","Taylor's Head","NS-TH-4-SG-4",0.686227353,"SG",18787.93701,0.319164714191845,0.303311418355178,0.223719232185951
"73","Taylor's Head","NS-TH-5-BA-5",0.686227353,"BA",18787.93701,0.243217200473927,0.181267823120923,0.0929755754278546
"74","Taylor's Head Deep","NS-THd-1-SG-1",1,"SG",18665.01085,15.3891048539462,6.50131706727425,2.03860744468855
"75","Taylor's Head Deep","NS-THd-2-BA-2",1,"BA",18665.01085,25.8041963733051,9.63946418630609,2.75312629248509
"76","Taylor's Head Deep","NS-THd-3-BA-3",1,"BA",18665.01085,17.5162002916396,7.74952156103757,2.5180747586611
"77","Taylor's Head Deep","NS-THd-4-SG-4",1,"SG",18665.01085,18.2696147401765,9.18610739985898,3.30186453234558
"78","Tsawwassen","BC-TSW-1-SG-1",0.061334021,"SG",8487.07946,17.6690694656295,9.74559884417505,3.77891012979976
"79","Tsawwassen","BC-TSW-2-SG-2",0.061334021,"SG",8487.07946,13.3367168914095,9.081411045676,4.2492477740563
"80","Tsawwassen","BC-TSW-3-SG-3",0.061334021,"SG",8487.07946,13.7353746529732,9.01812663952225,4.07599865319237
"81","Tsawwassen","BC-TSW-4-BA-4",0.061334021,"BA",8487.07946,9.43228800253076,6.79033421261177,3.35827498339974
"82","Tsawwassen","BC-TSW-5-BA-5",0.061334021,"BA",8487.07946,11.8616435207755,8.39927330548451,4.08472988215555
"83","Tsawwassen","BC-TSW-7-BA-7",0.061334021,"BA",8487.07946,5.92779047969663,3.69588405429894,1.5932412447604
