,X,X.x,Site,CoreName_2,Extracted_IntervalStart_Depth_cm,Extracted_IntervalEnd_Depth_cm,Corrected_IntervalStart_Depth_cm,Corrected_IntervalEnd_Depth_cm,Corrected_DBD_g_cm3,Corrected_Sample_Thickness_cm,Province,Region,OC_Per,Study,Percent.Sand.Fraction,Percent.Gravel.Fraction,Core.Number,Type,Coast,Percent.Silt.Fraction,SiteName2.x,Corrected_Midpoint_cm,Corrected_Midpoint_cm_rounded,SiteCode,Watercourse_NEAR_DIST.x,REI_SUM,X.y,REI_Scaled,Elevation,Watercourse_NEAR_DIST.y,REI_Raw
231,231,231,Port l'Hebert,NS-PLH-5-SG-5,10.1,15,5.05,7.5,0.165281114,2.5,NS,Atlantic,6.055370741,Wong,28.59866921,0,5,SG,Atlantic,71.37066126,Port l'Hebert,6.275,10,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
232,232,232,Port l'Hebert,NS-PLH-5-SG-5,15.1,20,7.55,10,0.165240341,2.5,NS,Atlantic,10.58820162,Wong,14.74101194,0,5,SG,Atlantic,85.19963454,Port l'Hebert,8.775,10,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
233,233,233,Port l'Hebert,NS-PLH-5-SG-5,2.1,5,1.05,2.5,0.275474034,1.5,NS,Atlantic,6.204693061,Wong,46.56474808,0,5,SG,Atlantic,53.30324224,Port l'Hebert,1.775,5,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
234,234,234,Port l'Hebert,NS-PLH-5-SG-5,20.1,25,10.05,12.5,0.166352236,2.5,NS,Atlantic,6.842332016,Wong,16.52380132,0,5,SG,Atlantic,83.46030022,Port l'Hebert,11.275,15,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
235,235,235,Port l'Hebert,NS-PLH-5-SG-5,25.1,30,12.55,15,0.165336213,2.5,NS,Atlantic,4.436327142,Wong,28.32853449,0.714495188,5,SG,Atlantic,70.91764643,Port l'Hebert,13.775,15,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
236,236,236,Port l'Hebert,NS-PLH-5-SG-5,30.1,35,15.05,17.5,0.165275604,2.5,NS,Atlantic,6.410540541,Wong,38.10749362,0.166021029,5,SG,Atlantic,61.58046686,Port l'Hebert,16.275,20,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
237,237,237,Port l'Hebert,NS-PLH-5-SG-5,35.1,40,17.55,20,0.165655786,2.5,NS,Atlantic,8.742452229,Wong,31.13300427,0.143687719,5,SG,Atlantic,68.63815973,Port l'Hebert,18.775,20,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
238,238,238,Port l'Hebert,NS-PLH-5-SG-5,40.1,45,20.05,22.5,0.165370374,2.5,NS,Atlantic,5.606026936,Wong,21.23651436,0,5,SG,Atlantic,78.75015826,Port l'Hebert,21.275,25,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
239,239,239,Port l'Hebert,NS-PLH-5-SG-5,45.1,50,22.55,25,0.165405638,2.5,NS,Atlantic,5.515245245,Wong,22.46117562,0.167889193,5,SG,Atlantic,77.28765681,Port l'Hebert,23.775,25,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
240,240,240,Port l'Hebert,NS-PLH-5-SG-5,5.1,10,2.55,5,0.165402332,2.5,NS,Atlantic,7.041674335,Wong,37.36675195,0,5,SG,Atlantic,62.46535551,Port l'Hebert,3.775,5,PlH,27198.60056,5.03659e+51,43,0.025576715,6,27198.60056,1577.623654
241,241,241,Roberts Bank North,BC-RBN-2-BA-2,5,10,8.8,7.6,2.210505927,-1.2,BC,Lower Mainland,1.141,Christensen,39.5,0,2,BA,Pacific,60.4,Robert's Bank North,8.2,10,RBN,8436.399749,2.7782e+64,46,0.3334105,-5,8436.399749,17885.86984
