,X,X.x,Site,CoreName_2,Extracted_IntervalStart_Depth_cm,Extracted_IntervalEnd_Depth_cm,Corrected_IntervalStart_Depth_cm,Corrected_IntervalEnd_Depth_cm,Corrected_DBD_g_cm3,Corrected_Sample_Thickness_cm,Province,Region,OC_Per,Study,Percent.Sand.Fraction,Percent.Gravel.Fraction,Core.Number,Type,Coast,Percent.Silt.Fraction,SiteName2.x,Corrected_Midpoint_cm,Corrected_Midpoint_cm_rounded,SiteCode,Watercourse_NEAR_DIST.x,REI_SUM,X.y,REI_Scaled,Elevation,Watercourse_NEAR_DIST.y,REI_Raw
386,386,386,Taylor's Head,NS-TH-2-SG-2,45.1,48,22.55,24,0.275782587,1.5,NS,Atlantic,0.203306661,Wong,87.54903201,0.477500216,2,SG,Atlantic,11.95615256,Taylor's Head,23.275,25,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
387,387,387,Taylor's Head,NS-TH-2-SG-2,5.1,10,2.55,5,0.165360457,2.5,NS,Atlantic,0.5128,Wong,87.94799344,0,2,SG,Atlantic,11.92005758,Taylor's Head,3.775,5,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
388,388,388,Taylor's Head,NS-TH-3-SG-3,0,2,0,1,0.415861305,1,NS,Atlantic,0.462474563,Wong,80.66856132,0,3,SG,Atlantic,18.61464979,Taylor's Head,0.5,5,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
389,389,389,Taylor's Head,NS-TH-3-SG-3,10.1,15,5.05,7.5,0.165281114,2.5,NS,Atlantic,0.017663183,Wong,89.63103223,0,3,SG,Atlantic,10.34096516,Taylor's Head,6.275,10,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
390,390,390,Taylor's Head,NS-TH-3-SG-3,15.1,20,7.55,10,0.165093778,2.5,NS,Atlantic,0.300522863,Wong,79.55892562,0,3,SG,Atlantic,20.27954291,Taylor's Head,8.775,10,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
391,391,391,Taylor's Head,NS-TH-3-SG-3,2.1,5,1.05,2.5,0.274983654,1.5,NS,Atlantic,0.699163315,Wong,84.65556164,0,3,SG,Atlantic,14.71126488,Taylor's Head,1.775,5,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
392,392,392,Taylor's Head,NS-TH-3-SG-3,20.1,25,10.05,12.5,0.165458533,2.5,NS,Atlantic,0.414442259,Wong,81.38957155,0,3,SG,Atlantic,18.56580551,Taylor's Head,11.275,15,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
393,393,393,Taylor's Head,NS-TH-3-SG-3,25.1,30,12.55,15,0.165445309,2.5,NS,Atlantic,0.273566009,Wong,84.72774503,0,3,SG,Atlantic,15.2309588,Taylor's Head,13.775,15,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
394,394,394,Taylor's Head,NS-TH-3-SG-3,30.1,35,15.05,17.5,0.165315276,2.5,NS,Atlantic,0.203898305,Wong,89.11256724,0,3,SG,Atlantic,10.86476866,Taylor's Head,16.275,20,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
395,395,395,Taylor's Head,NS-TH-3-SG-3,35.1,40,17.55,20,0.165361559,2.5,NS,Atlantic,0.046459144,Wong,89.20091431,0.285887551,3,SG,Atlantic,10.51319814,Taylor's Head,18.775,20,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
396,396,396,Taylor's Head,NS-TH-3-SG-3,40.1,45,20.05,22.5,0.165363763,2.5,NS,Atlantic,0.118511284,Wong,81.36424521,0,3,SG,Atlantic,18.63109002,Taylor's Head,21.275,25,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
397,397,397,Taylor's Head,NS-TH-3-SG-3,5.1,10,2.55,5,0.165234831,2.5,NS,Atlantic,0.590185078,Wong,89.90956624,0,3,SG,Atlantic,9.929707091,Taylor's Head,3.775,5,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
398,398,398,Taylor's Head,NS-TH-4-SG-4,0,2,0,1,0.413120138,1,NS,Atlantic,0.622668681,Wong,78.17093014,0,4,SG,Atlantic,21.53565046,Taylor's Head,0.5,5,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
399,399,399,Taylor's Head,NS-TH-4-SG-4,10.1,15,5.05,7.5,0.173045644,2.5,NS,Atlantic,0.235451285,Wong,86.53459168,0,4,SG,Atlantic,8.924932498,Taylor's Head,6.275,10,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
400,400,400,Taylor's Head,NS-TH-4-SG-4,15.1,20,7.55,10,0.172453882,2.5,NS,Atlantic,0.038693918,Wong,70.06997029,0.447298636,4,SG,Atlantic,29.48273108,Taylor's Head,8.775,10,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
401,401,401,Taylor's Head,NS-TH-4-SG-4,2.1,5,1.05,2.5,0.28568385,1.5,NS,Atlantic,0.613546778,Wong,86.71406897,0,4,SG,Atlantic,13.0667061,Taylor's Head,1.775,5,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
402,402,402,Taylor's Head,NS-TH-4-SG-4,20.1,25,10.05,12.5,0.171943667,2.5,NS,Atlantic,0.074928872,Wong,86.9167863,0,4,SG,Atlantic,12.90376333,Taylor's Head,11.275,15,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
403,403,403,Taylor's Head,NS-TH-4-SG-4,25.1,30,12.55,15,0.172242303,2.5,NS,Atlantic,0.270319107,Wong,84.10523151,0.439530911,4,SG,Atlantic,15.41109256,Taylor's Head,13.775,15,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
404,404,404,Taylor's Head,NS-TH-4-SG-4,30.1,35,15.05,17.5,0.169670288,2.5,NS,Atlantic,0.554915085,Wong,88.14566569,0.855366989,4,SG,Atlantic,10.90414304,Taylor's Head,16.275,20,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
405,405,405,Taylor's Head,NS-TH-4-SG-4,35.1,40,17.55,20,0.17149957,2.5,NS,Atlantic,0.039283004,Wong,80.40982079,2.874785548,4,SG,Atlantic,16.42688702,Taylor's Head,18.775,20,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
406,406,406,Taylor's Head,NS-TH-4-SG-4,40.1,45,20.05,22.5,0.173237388,2.5,NS,Atlantic,0.1,Wong,74.2675216,16.2818213,4,SG,Atlantic,9.431573859,Taylor's Head,21.275,25,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
407,407,407,Taylor's Head,NS-TH-4-SG-4,5.1,10,2.55,5,0.171483041,2.5,NS,Atlantic,0.35896455,Wong,87.84363875,0,4,SG,Atlantic,11.9944221,Taylor's Head,3.775,5,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
408,408,408,Taylor's Head,NS-TH-5-BA-5,0,2,0,1,0.413282679,1,NS,Atlantic,0.02727003,Wong,94.64986835,0.645268806,5,BA,Atlantic,4.672199447,Taylor's Head,0.5,5,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
409,409,409,Taylor's Head,NS-TH-5-BA-5,30.1,35,15.05,17.5,0.165704273,2.5,NS,Atlantic,0.004175248,Wong,92.43067101,0.081798231,5,BA,Atlantic,7.458934628,Taylor's Head,16.275,20,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
410,410,410,Taylor's Head,NS-TH-5-BA-5,35.1,42,17.55,21,0.118630967,3.5,NS,Atlantic,0.712735043,Wong,84.53826453,0,5,BA,Atlantic,15.38012394,Taylor's Head,19.275,20,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
411,411,411,Taylor's Head,NS-TH-5-BA-5,35.1,42,17.55,21,0.118630967,3.5,NS,Atlantic,0.332570704,Wong,84.53826453,0,5,BA,Atlantic,15.38012394,Taylor's Head,19.275,20,TH1,18787.93701,9.72038e+47,61,0.686227353,8,18787.93701,36577.20391
412,412,412,Taylor's Head Deep,NS-THd-1-SG-1,0,2,0,3.1,0.6,3.1,NS,Atlantic,0.604,Christensen,89.3,0,1,SG,Atlantic,10.7,Taylor's Head Deep,1.55,5,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
413,413,413,Taylor's Head Deep,NS-THd-1-SG-1,10,20,15.4,30.8,0.6,15.4,NS,Atlantic,0.935,Christensen,82.2,0,1,SG,Atlantic,17.8,Taylor's Head Deep,23.1,25,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
414,414,414,Taylor's Head Deep,NS-THd-1-SG-1,2,5,3.1,7.7,0.6,4.6,NS,Atlantic,0.604,Christensen,91.5,0,1,SG,Atlantic,8.5,Taylor's Head Deep,5.4,10,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
415,415,415,Taylor's Head Deep,NS-THd-1-SG-1,20,29.7,30.8,45.7,0.6,14.9,NS,Atlantic,0.625,Christensen,80.9,0,1,SG,Atlantic,19,Taylor's Head Deep,38.25,40,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
416,416,416,Taylor's Head Deep,NS-THd-1-SG-1,5,10,7.7,15.4,0.6,7.7,NS,Atlantic,0.5,Christensen,92.8,0,1,SG,Atlantic,7.2,Taylor's Head Deep,11.55,15,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
417,417,417,Taylor's Head Deep,NS-THd-2-BA-2,0,2,0,3,0.7,3,NS,Atlantic,0.654,Christensen,87,0,2,BA,Atlantic,12.9,Taylor's Head Deep,1.5,5,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
418,418,418,Taylor's Head Deep,NS-THd-2-BA-2,10,20,15,30,0.7,15,NS,Atlantic,0.672,Christensen,80.8,0,2,BA,Atlantic,19.1,Taylor's Head Deep,22.5,25,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
419,419,419,Taylor's Head Deep,NS-THd-2-BA-2,2,5,3,7.5,0.7,4.5,NS,Atlantic,0.687,Christensen,88.9,0,2,BA,Atlantic,11.2,Taylor's Head Deep,5.25,10,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
420,420,420,Taylor's Head Deep,NS-THd-2-BA-2,20,28,30,42,0.7,12,NS,Atlantic,1.382,Christensen,78.5,0,2,BA,Atlantic,21.5,Taylor's Head Deep,36,40,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
421,421,421,Taylor's Head Deep,NS-THd-2-BA-2,28,34,42,51,0.7,9,NS,Atlantic,2.416,Christensen,80.4,0,2,BA,Atlantic,19.6,Taylor's Head Deep,46.5,50,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
422,422,422,Taylor's Head Deep,NS-THd-3-BA-3,10,20,15.6,31.2,0.6,15.6,NS,Atlantic,0.822,Christensen,80.7,0,3,BA,Atlantic,19.3,Taylor's Head Deep,23.4,25,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
423,423,423,Taylor's Head Deep,NS-THd-3-BA-3,2,5,3.1,7.8,0.6,4.7,NS,Atlantic,0.361,Christensen,89.9,0,3,BA,Atlantic,10.1,Taylor's Head Deep,5.45,10,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
424,424,424,Taylor's Head Deep,NS-THd-3-BA-3,20,30.4,31.2,47.4,0.6,16.2,NS,Atlantic,1.602,Christensen,82.1,0,3,BA,Atlantic,17.9,Taylor's Head Deep,39.3,40,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
425,425,425,Taylor's Head Deep,NS-THd-3-BA-3,5,10,7.8,15.6,0.6,7.8,NS,Atlantic,1.172,Christensen,88.3,0,3,BA,Atlantic,11.8,Taylor's Head Deep,11.7,15,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
426,426,426,Taylor's Head Deep,NS-THd-4-SG-4,10,20,11.2,22.4,0.9,11.2,NS,Atlantic,0.563,Christensen,83.6,0,4,SG,Atlantic,16.4,Taylor's Head Deep,16.8,20,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
427,427,427,Taylor's Head Deep,NS-THd-4-SG-4,2,5,2.2,5.6,0.9,3.4,NS,Atlantic,0.964,Christensen,89.8,0,4,SG,Atlantic,10.2,Taylor's Head Deep,3.9,5,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
428,428,428,Taylor's Head Deep,NS-THd-4-SG-4,20,30,22.4,33.6,0.9,11.2,NS,Atlantic,1.085,Christensen,77.9,0,4,SG,Atlantic,22.2,Taylor's Head Deep,28,30,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
429,429,429,Taylor's Head Deep,NS-THd-4-SG-4,30,42.8,33.6,47.9,0.9,14.3,NS,Atlantic,1.318,Christensen,76.9,0,4,SG,Atlantic,23.1,Taylor's Head Deep,40.75,45,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
430,430,430,Taylor's Head Deep,NS-THd-4-SG-4,30,42.8,33.6,47.9,0.9,14.3,NS,Atlantic,1.318,Christensen,76.9,0,4,SG,Atlantic,23.1,Taylor's Head Deep,40.75,45,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
431,431,431,Taylor's Head Deep,NS-THd-4-SG-4,5,10,5.6,11.2,0.9,5.6,NS,Atlantic,0.579,Christensen,89.3,0,4,SG,Atlantic,10.8,Taylor's Head Deep,8.4,10,THd,18665.01085,7.67027e+56,62,1,8,18665.01085,53200.07583
432,432,432,TFN Intercauseway,BC-TFN-1-SG-1,0,2,0,4.3,2.004319121,4.3,BC,Lower Mainland,0.514,Christensen,84,0,1,SG,Pacific,16,TFN Intercauseway,2.15,5,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
433,433,433,TFN Intercauseway,BC-TFN-1-SG-1,10,20,21.5,43,1.517941919,21.5,BC,Lower Mainland,0.35,Christensen,86.7,0.6,1,SG,Pacific,13.1,TFN Intercauseway,32.25,35,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
434,434,434,TFN Intercauseway,BC-TFN-1-SG-1,2,5,4.3,0.7,1.539510531,-3.6,BC,Lower Mainland,0.493,Christensen,85.5,0,1,SG,Pacific,14.5,TFN Intercauseway,2.5,5,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
435,435,435,TFN Intercauseway,BC-TFN-1-SG-1,20,25.5,43,54.8,1.167149244,11.8,BC,Lower Mainland,0.326,Christensen,78.8,0,1,SG,Pacific,21.1,TFN Intercauseway,48.9,50,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
436,436,436,TFN Intercauseway,BC-TFN-1-SG-1,5,10,10.7,21.5,1.453397692,10.8,BC,Lower Mainland,0.36,Christensen,85.9,0,1,SG,Pacific,14.1,TFN Intercauseway,16.1,20,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
437,437,437,TFN Intercauseway,BC-TFN-2-SG-2,0,2,0,3.2,1.26602941,3.2,BC,Lower Mainland,0.441,Christensen,89.6,0,2,SG,Pacific,10.3,TFN Intercauseway,1.6,5,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
438,438,438,TFN Intercauseway,BC-TFN-2-SG-2,10,20,15.9,31.8,1.077112955,15.9,BC,Lower Mainland,0.427,Christensen,91.1,0,2,SG,Pacific,8.7,TFN Intercauseway,23.85,25,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
439,439,439,TFN Intercauseway,BC-TFN-2-SG-2,2,5,3.2,7.9,1.151794735,4.7,BC,Lower Mainland,0.355,Christensen,90.8,0,2,SG,Pacific,9.1,TFN Intercauseway,5.55,10,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
440,440,440,TFN Intercauseway,BC-TFN-2-SG-2,20,30,31.8,47.7,1.118851614,15.9,BC,Lower Mainland,0.377,Christensen,86.9,0,2,SG,Pacific,13.1,TFN Intercauseway,39.75,40,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
441,441,441,TFN Intercauseway,BC-TFN-2-SG-2,30,34.5,47.7,54.8,0.866786303,7.1,BC,Lower Mainland,0.39,Christensen,82.8,0,2,SG,Pacific,17.2,TFN Intercauseway,51.25,55,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
442,442,442,TFN Intercauseway,BC-TFN-2-SG-2,5,10,7.9,5.9,1.171182008,-2,BC,Lower Mainland,0.361,Christensen,90.2,0,2,SG,Pacific,9.8,TFN Intercauseway,6.9,10,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
443,443,443,TFN Intercauseway,BC-TFN-3-SG-3,0,2,0,3.8,1.622274412,3.8,BC,Lower Mainland,0.517,Christensen,93,0,3,SG,Pacific,7.1,TFN Intercauseway,1.9,5,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
444,444,444,TFN Intercauseway,BC-TFN-3-SG-3,10,20,18.9,37.8,1.380729863,18.9,BC,Lower Mainland,0.364,Christensen,93.3,0,3,SG,Pacific,6.7,TFN Intercauseway,28.35,30,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
445,445,445,TFN Intercauseway,BC-TFN-3-SG-3,2,5,3.8,9.4,1.350087997,5.6,BC,Lower Mainland,0.362,Christensen,95.7,0,3,SG,Pacific,4.3,TFN Intercauseway,6.6,10,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
446,446,446,TFN Intercauseway,BC-TFN-3-SG-3,20,29,37.8,54.8,1.401942372,17,BC,Lower Mainland,0.291,Christensen,92,0,3,SG,Pacific,8,TFN Intercauseway,46.3,50,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
447,447,447,TFN Intercauseway,BC-TFN-3-SG-3,5,10,9.4,8.9,1.399093685,-0.5,BC,Lower Mainland,0.358,Christensen,95.3,0,3,SG,Pacific,4.8,TFN Intercauseway,9.15,10,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
448,448,448,TFN Intercauseway,BC-TFN-4-BA-4,0,2,0,5.8,2.894599341,5.8,BC,Lower Mainland,0.533,Christensen,81.7,0,4,BA,Pacific,18.3,TFN Intercauseway,2.9,5,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
449,449,449,TFN Intercauseway,BC-TFN-4-BA-4,10,19,28.8,54.8,2.169930759,26,BC,Lower Mainland,0.282,Christensen,79.7,0,4,BA,Pacific,20.3,TFN Intercauseway,41.8,45,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
450,450,450,TFN Intercauseway,BC-TFN-4-BA-4,2,5,5.8,4.4,2.174011494,-1.4,BC,Lower Mainland,0.475,Christensen,84.7,0,4,BA,Pacific,15.3,TFN Intercauseway,5.1,10,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
451,451,451,TFN Intercauseway,BC-TFN-4-BA-4,5,10,14.4,28.8,2.04860998,14.4,BC,Lower Mainland,0.443,Christensen,81.4,0,4,BA,Pacific,18.6,TFN Intercauseway,21.6,25,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
452,452,452,TFN Intercauseway,BC-TFN-5-BA-5,0,2,0,5.2,2.070640848,5.2,BC,Lower Mainland,0.444,Christensen,83.2,0,5,BA,Pacific,16.8,TFN Intercauseway,2.6,5,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
453,453,453,TFN Intercauseway,BC-TFN-5-BA-5,10,21,26.1,54.8,1.997440458,28.7,BC,Lower Mainland,0.282,Christensen,87.1,0,5,BA,Pacific,12.9,TFN Intercauseway,40.45,45,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
454,454,454,TFN Intercauseway,BC-TFN-5-BA-5,2,5,5.2,3,1.975320979,-2.2,BC,Lower Mainland,0.439,Christensen,83.7,0,5,BA,Pacific,16.3,TFN Intercauseway,4.1,5,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
455,455,455,TFN Intercauseway,BC-TFN-5-BA-5,5,10,13,26.1,1.908287645,13.1,BC,Lower Mainland,0.416,Christensen,86.5,0,5,BA,Pacific,13.4,TFN Intercauseway,19.55,20,TFN,7931.438082,1.66545e+62,65,0.066903857,-1,7931.438082,3767.029841
456,456,456,Tsawwassen,BC-TSW-1-SG-1,0,2,0,4,1.715218111,4,BC,Lower Mainland,0.436,Christensen,80.1,0,1,SG,Pacific,19.8,Tsawwassen,2,5,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
457,457,457,Tsawwassen,BC-TSW-1-SG-1,10,20,19.9,39.9,1.437449996,20,BC,Lower Mainland,0.646,Christensen,79.7,0,1,SG,Pacific,20.3,Tsawwassen,29.9,30,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
458,458,458,Tsawwassen,BC-TSW-1-SG-1,2,5,4,0,0.918233144,-4,BC,Lower Mainland,0.407,Christensen,79.9,0,1,SG,Pacific,20.1,Tsawwassen,2,5,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
459,459,459,Tsawwassen,BC-TSW-1-SG-1,20,29,39.9,57.8,1.41204213,17.9,BC,Lower Mainland,0.669,Christensen,73.2,0,1,SG,Pacific,26.9,Tsawwassen,48.85,50,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
460,460,460,Tsawwassen,BC-TSW-1-SG-1,5,10,10,19.9,1.98796276,9.9,BC,Lower Mainland,0.565,Christensen,78.2,0,1,SG,Pacific,21.9,Tsawwassen,14.95,15,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
461,461,461,Tsawwassen,BC-TSW-2-SG-2,0,2,0,4.3,1.883981063,4.3,BC,Lower Mainland,0.532,Christensen,81.6,0,2,SG,Pacific,18.2,Tsawwassen,2.15,5,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
462,462,462,Tsawwassen,BC-TSW-2-SG-2,10,20,21.6,43.1,1.574486427,21.5,BC,Lower Mainland,0.513,Christensen,84.9,0,2,SG,Pacific,15.2,Tsawwassen,32.35,35,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
463,463,463,Tsawwassen,BC-TSW-2-SG-2,2,5,4.3,0.8,1.621654586,-3.5,BC,Lower Mainland,0.67,Christensen,83.5,0,2,SG,Pacific,16.5,Tsawwassen,2.55,5,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
464,464,464,Tsawwassen,BC-TSW-2-SG-2,20,25.4,43.1,54.8,1.760299864,11.7,BC,Lower Mainland,0.735,Christensen,75.7,0,2,SG,Pacific,24.3,Tsawwassen,48.95,50,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
465,465,465,Tsawwassen,BC-TSW-2-SG-2,5,10,10.8,21.6,1.691602715,10.8,BC,Lower Mainland,0.617,Christensen,84.1,0,2,SG,Pacific,15.8,Tsawwassen,16.2,20,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
466,466,466,Tsawwassen,BC-TSW-3-SG-3,0,2,0,4.6,1.623758529,4.6,BC,Lower Mainland,0.543,Christensen,85.2,0,3,SG,Pacific,14.9,Tsawwassen,2.3,5,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
467,467,467,Tsawwassen,BC-TSW-3-SG-3,10,20,22.8,45.7,1.922266123,22.9,BC,Lower Mainland,0.56,Christensen,81.3,0,3,SG,Pacific,18.7,Tsawwassen,34.25,35,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
468,468,468,Tsawwassen,BC-TSW-3-SG-3,2,5,4.6,1.4,1.568450559,-3.2,BC,Lower Mainland,0.52,Christensen,84.9,0,3,SG,Pacific,15.1,Tsawwassen,3,5,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
469,469,469,Tsawwassen,BC-TSW-3-SG-3,20,24,45.7,54.8,1.412331637,9.1,BC,Lower Mainland,0.649,Christensen,69.6,0,3,SG,Pacific,30.4,Tsawwassen,50.25,55,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
470,470,470,Tsawwassen,BC-TSW-3-SG-3,5,10,11.4,22.8,1.75022165,11.4,BC,Lower Mainland,0.568,Christensen,83.9,0,3,SG,Pacific,16.1,Tsawwassen,17.1,20,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
471,471,471,Tsawwassen,BC-TSW-4-BA-4,0,2,0,5.1,1.838251818,5.1,BC,Lower Mainland,0.333,Christensen,87.9,0,4,BA,Pacific,12.1,Tsawwassen,2.55,5,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
472,472,472,Tsawwassen,BC-TSW-4-BA-4,10,21.5,25.5,54.8,1.882319498,29.3,BC,Lower Mainland,0.582,Christensen,81.5,0,4,BA,Pacific,18.5,Tsawwassen,40.15,45,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
473,473,473,Tsawwassen,BC-TSW-4-BA-4,2,5,5.1,2.7,2.003153819,-2.4,BC,Lower Mainland,0.388,Christensen,91.1,0,4,BA,Pacific,8.9,Tsawwassen,3.9,5,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
474,474,474,Tsawwassen,BC-TSW-4-BA-4,5,10,12.7,25.5,1.874682902,12.8,BC,Lower Mainland,0.666,Christensen,93.3,0,4,BA,Pacific,6.6,Tsawwassen,19.1,20,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
475,475,475,Tsawwassen,BC-TSW-5-BA-5,0,2,0,4.3,1.921686374,4.3,BC,Lower Mainland,0.593,Christensen,85,0,5,BA,Pacific,15,Tsawwassen,2.15,5,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
476,476,476,Tsawwassen,BC-TSW-5-BA-5,10,20,21.6,43.2,1.676132904,21.6,BC,Lower Mainland,0.48,Christensen,80.7,0,5,BA,Pacific,19.3,Tsawwassen,32.4,35,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
477,477,477,Tsawwassen,BC-TSW-5-BA-5,2,5,4.3,0.8,1.877869421,-3.5,BC,Lower Mainland,0.616,Christensen,83.8,0,5,BA,Pacific,16.2,Tsawwassen,2.55,5,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
478,478,478,Tsawwassen,BC-TSW-5-BA-5,20,27.2,43.2,58.7,1.936478922,15.5,BC,Lower Mainland,0.608,Christensen,73.1,0,5,BA,Pacific,26.9,Tsawwassen,50.95,55,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
479,479,479,Tsawwassen,BC-TSW-5-BA-5,5,10,10.8,21.6,1.605418859,10.8,BC,Lower Mainland,0.537,Christensen,83.5,0,5,BA,Pacific,16.4,Tsawwassen,16.2,20,TSW,8487.07946,3.95617e+56,68,0.061334021,-2,8487.07946,3471.954224
