"","Site","CoreName_2","REI_Scaled","Type","Watercourse_NEAR_DIST.x","Coast","c_100","c_60","c_30","c_60_cm2","c_100_cm2","c_30_cm2","c_60_m2","c_100_m2","c_30_m2"
"12","Cates Park","BC-CAP-1-SG-1",0.020752545,"SG",11932.15437,"Pacific",5.89503231679803,4.20737709073356,2.41673902073907,0.236184601275979,0.330922526606523,0.135665648619539,2361.84601275979,3309.22526606523,1356.65648619539
"13","Centennial Beach","BC-CEB-1-SG-1",0.233078785,"SG",8718.593092,"Pacific",3.77133163461438,2.79305477398015,1.65756412395296,0.156790445426763,0.211706828076488,0.0930487363653304,1567.90445426763,2117.06828076488,930.487363653304
"14","Centennial Beach","BC-CEB-2-BA-2",0.233078785,"BA",8718.593092,"Pacific",3.14756939248573,1.83459340199067,0.897731785702583,0.102986421660903,0.176691417460541,0.0503949180894479,1029.86421660903,1766.91417460541,503.949180894479
"15","Crescent Beach","BC-CRB-1-SG-1",0.185746742,"SG",13699.79929,"Pacific",0.833177999655686,0.707297028759753,0.482083969406279,0.0397047051212092,0.0467711377889085,0.027062183312861,397.047051212092,467.711377889085,270.62183312861
"16","Crescent Beach","BC-CRB-2-BA-2",0.185746742,"BA",13699.79929,"Pacific",0.86160121591164,0.723472340356241,0.486929082002229,0.0406127196484417,0.048366698598796,0.0273341677254614,406.127196484417,483.66698598796,273.341677254614
"17","Fulmore","BC-FUL-2-SG-2",0.009561641,"SG",58527.17962,"Pacific",10.3521057058899,6.7141073835634,3.56415560586048,0.376901984565056,0.581124036611155,0.20007682993514,3769.01984565056,5811.24036611155,2000.7682993514
"18","Fulmore","BC-FUL-4-SG-4",0.009561641,"SG",58527.17962,"Pacific",9.6781914557382,6.94967245313926,4.01304667182544,0.390125625049969,0.543293301444387,0.225275702093471,3901.25625049969,5432.93301444387,2252.75702093471
"19","Fulmore","BC-FUL-5-BA-5",0.009561641,"BA",58527.17962,"Pacific",10.8330050255718,4.55008669342187,1.77386213765103,0.255422888959453,0.608119718629563,0.0995772217856085,2554.22888959453,6081.19718629563,995.772217856085
"20","Mason's Island Shallow","NS-MAs-3-SG-3",0.003733477,"SG",12230.32955,"Atlantic",31.9980857732716,20.911119294147,11.1674983491501,1.17386301874393,1.79623907412518,0.626896778673175,11738.6301874393,17962.3907412518,6268.96778673175
"21","Mason's Island Shallow","NS-MAs-4-BA-4",0.003733477,"BA",12230.32955,"Atlantic",58.1672836721872,40.0403454642213,22.3054844590334,2.24769798962107,3.2652686947599,1.25213686332685,22476.9798962107,32652.686947599,12521.3686332685
"22","Mason's Island Shallow","NS-MAs-5-BA-5",0.003733477,"BA",12230.32955,"Atlantic",63.0480136415915,43.3576665536202,24.1338619365257,2.433918559327,3.53925251814915,1.35477434891248,24339.18559327,35392.5251814915,13547.7434891248
"23","Parksville","BC-PAR-1-SG-1",0.098275402,"SG",37982.6795,"Pacific",1.01536832934153,0.789028882783354,0.489774735137344,0.0442927905097583,0.0569985429977169,0.0274939108234992,442.927905097583,569.985429977169,274.939108234992
"24","Parksville","BC-PAR-2-SG-2",0.098275402,"SG",37982.6795,"Pacific",0.858220976364662,0.61148045804817,0.350720384089028,0.0343259624839047,0.048176946049309,0.0196879795390489,343.259624839047,481.76946049309,196.879795390489
"25","Parksville","BC-PAR-3-SG-3",0.098275402,"SG",37982.6795,"Pacific",1.02173762283937,0.757536800954414,0.450016037256798,0.0425249563865701,0.0573560885689255,0.0252620233544985,425.249563865701,573.560885689255,252.620233544985
"26","Parksville","BC-PAR-4-BA-4",0.098275402,"BA",37982.6795,"Pacific",1.02074137896679,0.578400010819191,0.277241310765699,0.03246896415209,0.0573001635931642,0.0155631708373946,324.6896415209,573.001635931642,155.631708373946
"27","Parksville","BC-PAR-5-BA-5",0.098275402,"BA",37982.6795,"Pacific",0.980149424785943,0.58347620013222,0.290023831969511,0.0327539202477867,0.055021500590903,0.0162807282630109,327.539202477867,550.21500590903,162.807282630109
"28","Port Joli","NS-PJO-1-SG-1",0.029998959,"SG",23599.85735,"Atlantic",6.5960966446027,4.56297660349393,2.55239569939236,0.256146474748223,0.370277353892159,0.143280848747124,2561.46474748223,3702.77353892159,1432.80848747124
"29","Port Joli","NS-PJO-2-SG-2",0.029998959,"SG",23599.85735,"Atlantic",4.97994117732174,3.8823894480832,2.41751000608972,0.217941150512308,0.279553126800549,0.135708928521413,2179.41150512308,2795.53126800549,1357.08928521413
"30","Port Joli","NS-PJO-3-SG-3",0.029998959,"SG",23599.85735,"Atlantic",6.35375849140643,4.00662712138533,2.08064617633259,0.22491533530714,0.356673500742728,0.116798798148094,2249.1533530714,3566.73500742728,1167.98798148094
"31","Port Joli","NS-PJO-4-BA-4",0.029998959,"BA",23599.85735,"Atlantic",7.50277437171919,2.69981546097094,0.951009028049607,0.151556379287356,0.421174459819853,0.0533856802601431,1515.56379287356,4211.74459819853,533.856802601431
"32","Port Joli","NS-PJO-5-BA-5",0.029998959,"BA",23599.85735,"Atlantic",19.2071049405285,4.48423711010945,1.1965581870968,0.251726368005082,1.07820676022497,0.0671697858852231,2517.26368005082,10782.0676022497,671.697858852231
"33","Port l'Hebert","NS-PLH-1-SG-1",0.025576715,"SG",27198.60056,"Atlantic",13.4381311805724,9.86341113722047,5.80657675413792,0.553690761827888,0.754360635220465,0.325957000259115,5536.90761827888,7543.60635220465,3259.57000259115
"34","Port l'Hebert","NS-PLH-2-SG-2",0.025576715,"SG",27198.60056,"Atlantic",15.7682531194096,11.6457202166401,6.89404210206658,0.653742159692937,0.885163962134223,0.387002769170025,6537.42159692937,8851.63962134223,3870.02769170025
"35","Port l'Hebert","NS-PLH-4-SG-4",0.025576715,"SG",27198.60056,"Atlantic",12.7947823989808,10.058724484184,6.31508085294975,0.564654838491724,0.718245717972793,0.35450229944078,5646.54838491724,7182.45717972793,3545.0229944078
"36","Port l'Hebert","NS-PLH-5-SG-5",0.025576715,"SG",27198.60056,"Atlantic",14.1348355498297,10.9457800053171,6.77154751690851,0.614450435617993,0.793470712618254,0.380126434073333,6144.50435617993,7934.70712618253,3801.26434073333
"37","Roberts Bank North","BC-RBN-1-BA-1",0.3334105,"BA",8436.399749,"Pacific",6.5384126688153,3.6101052945234,1.69825446340732,0.202656253804588,0.367039216086217,0.0953329223064903,2026.56253804588,3670.39216086217,953.329223064903
"38","Roberts Bank North","BC-RBN-2-BA-2",0.3334105,"BA",8436.399749,"Pacific",17.2839910663557,13.7835181238987,8.77827133430979,0.773749217640405,0.970251168466831,0.492775539314646,7737.49217640405,9702.51168466831,4927.75539314646
"39","Roberts Bank North","BC-RBN-3-BA-3",0.3334105,"BA",8436.399749,"Pacific",8.91180419177734,6.66170658278828,3.98696415365314,0.373960422168647,0.500271516979133,0.223811538311155,3739.60422168647,5002.71516979133,2238.11538311155
