"","Site","CoreName_2","REI_Scaled","Type","Watercourse_NEAR_DIST.x","Coast","c_100","c_60","c_25","c_60_cm2","c_100_cm2","c_25_cm2"
"28","Port Joli","NS-PJO-1-SG-1",0.029998959,"SG",23599.85735,"Atlantic",6.59607232461636,4.56296986073712,2.16814362713296,0.304973945833344,0.440859849009698,0.144911611796914
"29","Port Joli","NS-PJO-2-SG-2",0.029998959,"SG",23599.85735,"Atlantic",4.97992940854612,3.88238617595049,2.09380008349862,0.259485963630094,0.332842155010525,0.139942733075077
"30","Port Joli","NS-PJO-3-SG-3",0.029998959,"SG",23599.85735,"Atlantic",6.35373242102294,4.00662064370875,1.74493717518584,0.267789388153398,0.42466264436285,0.116625880027563
"31","Port Joli","NS-PJO-4-BA-4",0.029998959,"BA",23599.85735,"Atlantic",7.50274412793024,2.69981222179593,0.749749604738803,0.180446597593169,0.501458819827313,0.050110805532966
"32","Port Joli","NS-PJO-5-BA-5",0.029998959,"BA",23599.85735,"Atlantic",19.2070255285778,4.48423136526755,0.904908325815246,0.299711322939653,1.28373461625843,0.0604811057631529
"33","Port l'Hebert","NS-PLH-1-SG-1",0.025576715,"SG",27198.60056,"Atlantic",13.4381408713662,9.86341320018614,4.97744916878398,0.659238201183191,0.898161279010249,0.332676383916269
"34","Port l'Hebert","NS-PLH-2-SG-2",0.025576715,"SG",27198.60056,"Atlantic",15.7682599838637,11.6457209634141,5.91557729559306,0.778361808796331,1.05389880121366,0.395377792267012
"35","Port l'Hebert","NS-PLH-4-SG-4",0.025576715,"SG",27198.60056,"Atlantic",12.7947863333257,10.0587248108696,5.47791558205464,0.672292188913797,0.855161570920069,0.366125918204352
"36","Port l'Hebert","NS-PLH-5-SG-5",0.025576715,"SG",27198.60056,"Atlantic",14.1348411390218,10.9457809779145,5.85768381989268,0.731580114912898,0.944726440774382,0.391508382154472
"37","Roberts Bank North","BC-RBN-1-BA-1",0.3334105,"BA",8436.399749,"Pacific",6.53841468360037,3.61010599161384,1.40105881987912,0.241287648777328,0.437006201314281,0.0936421781611585
"38","Roberts Bank North","BC-RBN-2-BA-2",0.3334105,"BA",8436.399749,"Pacific",17.2839819952247,13.7835150763357,7.63523525618745,0.921244958563985,1.15520469117116,0.510314092468975
"39","Roberts Bank North","BC-RBN-3-BA-3",0.3334105,"BA",8436.399749,"Pacific",8.91179956872174,6.66170504258478,3.42790482396769,0.445246524702393,0.595635465913401,0.229109920076855
"40","Sacrifice Shallow","NS-SCs-1-BA-1",0.01492786,"BA",14864.16694,"Atlantic",32.4143878194266,11.7964675612533,3.30373684285514,0.788437217174451,2.16647141155253,0.220810939302974
"41","Sacrifice Shallow","NS-SCs-2-BA-2",0.01492786,"BA",14864.16694,"Atlantic",23.093282428612,15.8347138804324,7.45930526876996,1.05834036179178,1.54347928639614,0.498555508894975
"42","Sacrifice Shallow","NS-SCs-3-BA-3",0.01492786,"BA",14864.16694,"Atlantic",34.0388645532605,11.3833580001344,2.99314292845422,0.760826328485485,2.27504611060868,0.200051860343954
"43","Sacrifice Shallow","NS-SCs-4-BA-4",0.01492786,"BA",14864.16694,"Atlantic",37.4894898458289,16.8363577770674,5.53468457321336,1.12528695596176,2.50567459231794,0.369920171456741
"44","Sacrifice Shallow","NS-SCs-5-SG-5",0.01492786,"SG",14864.16694,"Atlantic",24.665070376952,14.1569973008876,5.67709021515927,0.946207285994704,1.64853243976961,0.379438097688705
"45","Sambro Deep","NS-SAd-1-SG-1",0.327026712,"SG",23533.52887,"Atlantic",11.624917681267,3.99107926703407,1.07011916091852,0.266750653488735,0.776971385621005,0.0715232563391219
"46","Sambro Deep","NS-SAd-2-SG-2",0.327026712,"SG",23533.52887,"Atlantic",7.49606460221008,5.38462784336214,2.65707600021707,0.359890871593212,0.501012382226947,0.177590248653181
"47","Sambro Deep","NS-SAd-3-SG-3",0.327026712,"SG",23533.52887,"Atlantic",8.84264876623969,3.91740908964582,1.27421756055832,0.261826780359162,0.591013652985825,0.0851645242361589
"48","Sambro Deep","NS-SAd-4-BA-4",0.327026712,"BA",23533.52887,"Atlantic",9.0300605682186,5.34162351442354,2.19830519905317,0.357016603236287,0.603539643402079,0.146927512379601
"49","Sambro Deep","NS-SAd-5-BA-5",0.327026712,"BA",23533.52887,"Atlantic",5.60540416232818,3.50071060490435,1.51136568685421,0.233976019781521,0.374646836939596,0.101014727509638
"50","Sambro Shallow","NS-SAs-1-SG-1",0.184812561,"SG",23558.20146,"Atlantic",2.792373655927,2.34940273380686,1.39404141081496,0.157026376230541,0.186633100388606,0.0931731575458272
"51","Sambro Shallow","NS-SAs-2-SG-2",0.184812561,"SG",23558.20146,"Atlantic",4.78278499765926,2.62723130263056,1.01524843685942,0.175595526912089,0.319665668923141,0.0678558770362191
"52","Sambro Shallow","NS-SAs-3-SG-3",0.184812561,"SG",23558.20146,"Atlantic",5.094732890769,2.25861387806311,0.735059405881166,0.150958346763128,0.340515243380052,0.049128960803015
"53","Sambro Shallow","NS-SAs-4-BA-4",0.184812561,"BA",23558.20146,"Atlantic",3.31063063561265,3.01483305426626,2.02698295930158,0.201501557242336,0.221271697809645,0.135476895553127
"54","Sambro Shallow","NS-SAs-5-BA-5",0.184812561,"BA",23558.20146,"Atlantic",3.49899475488947,1.42882987123596,0.43654532700956,0.0954983041866919,0.233861337991926,0.0291772584471346
"55","Sandy Island Exposed","BC-SIE-1-SG-1",0.457362703,"SG",32635.46911,"Pacific",0.694093488998533,0.557694768471346,0.311766072802631,0.0372744899270151,0.0463909332249938,0.0208374221836794
"56","Sandy Island Exposed","BC-SIE-3-SG-3",0.457362703,"SG",32635.46911,"Pacific",0.991287133062371,0.89257438609301,0.587935097674159,0.0596567456688363,0.0662543820473574,0.0392956543882661
"57","Sandy Island Exposed","BC-SIE-4-BA-4",0.457362703,"BA",32635.46911,"Pacific",0.537929714126461,0.423047848959162,0.230485131738915,0.0282751312656143,0.0359534584941676,0.0154048705618625
"58","Sandy Island Exposed","BC-SIE-5-BA-5",0.457362703,"BA",32635.46911,"Pacific",0.498840969151199,0.393292676589007,0.214908271280319,0.0262863930964756,0.0333408949321428,0.014363764277416
