"","Site","CoreName_2","REI_Scaled","Type","Watercourse_NEAR_DIST.x","c_100","c_60","c_30","c_60_m2","c_100_m2","c_30_m2"
"56","Sandy Island Exposed","BC-SIE-3-SG-3",0.457362703,"SG",32635.46911,1.05633604156017,0.932616119142945,0.667465054275319,523.531790693197,592.982994889666,374.687042092965
"57","Sandy Island Exposed","BC-SIE-4-BA-4",0.457362703,"BA",32635.46911,0.555621881489727,0.429554060312447,0.265319198434291,241.13373313939,311.902949770971,148.939131771856
"58","Sandy Island Exposed","BC-SIE-5-BA-5",0.457362703,"BA",32635.46911,0.509045071319018,0.396801168685914,0.247050336967617,222.747625874403,285.756671218702,138.683754922523
"59","Sooke","BC-SOO-1-SG-1",0.115469351,"SG",31277.59156,3.64379493300523,3.14482042664866,2.18637706120211,1765.37101984141,2045.47449592455,1227.34089030497
"60","Sooke","BC-SOO-2-SG-2",0.115469351,"SG",31277.59156,2.86824836409666,2.23287015637288,1.38842172505701,1253.44017474796,1610.11499950088,779.402046604581
"61","Sooke","BC-SOO-3-SG-3",0.115469351,"SG",31277.59156,3.79073713155669,2.41197155870929,1.26130554846663,1353.9802318585,2127.96171736218,708.044326970066
"62","Sooke","BC-SOO-4-SG-4",0.115469351,"SG",31277.59156,3.22826336056767,2.20368202514501,1.21912497236254,1237.05517528777,1812.21240261256,684.365910859756
"63","Sooke","BC-SOO-5-SG-5",0.115469351,"SG",31277.59156,3.15752228332688,2.31177703981391,1.35790293869574,1297.73520797542,1772.50131239735,762.270072852959
"64","Sooke","BC-SOO-7-BA-7",0.115469351,"BA",31277.59156,2.65917850235723,1.82721352183863,1.01638275548593,1025.72145969995,1492.75189923943,570.554886503821
"65","TFN Intercauseway","BC-TFN-1-SG-1",0.066903857,"SG",7931.438082,4.96513863996437,4.11771805775079,2.73317446598592,2311.51517124225,2787.22174093381,1534.29014691436
"66","TFN Intercauseway","BC-TFN-2-SG-2",0.066903857,"SG",7931.438082,4.25931674496489,3.42026465109421,2.19369241155626,1919.99391891011,2391.00276828821,1231.447422877
"67","TFN Intercauseway","BC-TFN-3-SG-3",0.066903857,"SG",7931.438082,3.59081255989234,3.10026729605249,2.15640687679817,1740.3607505964,2015.73240150691,1210.51687881049
"68","TFN Intercauseway","BC-TFN-4-BA-4",0.066903857,"BA",7931.438082,5.32089983132567,4.69286857464806,3.35405252763973,2634.3806824089,2986.93123527934,1882.82519445188
"69","TFN Intercauseway","BC-TFN-5-BA-5",0.066903857,"BA",7931.438082,4.77031715325648,4.11155260109957,2.85377242870279,2308.054141034,2677.85708412794,1601.98881314923
"70","Taylor's Head","NS-TH-1-BA-1",0.686227353,"BA",18787.93701,0.465682260584426,0.315463998310379,0.173428089380395,177.08833092703,261.414597896793,97.3552958459014
"71","Taylor's Head","NS-TH-2-SG-2",0.686227353,"SG",18787.93701,0.428615318592835,0.405828554262132,0.324674244343507,227.815223612622,240.606762692088,182.25857889881
"72","Taylor's Head","NS-TH-3-SG-3",0.686227353,"SG",18787.93701,0.328527533714127,0.311627620255182,0.25022477849928,174.934748298779,184.421654834184,140.465753995249
"73","Taylor's Head","NS-TH-4-SG-4",0.686227353,"SG",18787.93701,0.319114023517294,0.303204073686476,0.244294470981361,170.206120593786,179.137302838868,137.136726702572
"74","Taylor's Head","NS-TH-5-BA-5",0.686227353,"BA",18787.93701,0.243947996420702,0.181989429389992,0.108719600771156,102.161275041368,136.942230335365,61.0306492745153
"75","Taylor's Head Deep","NS-THd-1-SG-1",1,"SG",18665.01085,15.9841825297009,6.61388460510555,2.55297184645943,3712.75895802778,8972.853386055,1433.1319124041
"76","Taylor's Head Deep","NS-THd-2-BA-2",1,"BA",18665.01085,26.2854879762865,9.71111518935309,3.47985906987902,5451.41502527545,14755.576605427,1953.44773998539
"77","Taylor's Head Deep","NS-THd-3-BA-3",1,"BA",18665.01085,18.062637220075,7.87341263096521,3.14624222984951,4419.8054579452,10139.6111587238,1766.16916085621
"78","Taylor's Head Deep","NS-THd-4-SG-4",1,"SG",18665.01085,18.6396016968384,9.26000124465535,4.04383785840544,5198.17847228587,10463.4949513006,2270.04190880755
"79","Tsawwassen","BC-TSW-1-SG-1",0.061334021,"SG",8487.07946,17.125213398866,9.56768352464218,4.53923560131365,5370.89847111465,9613.3805246157,2548.13753907443
"80","Tsawwassen","BC-TSW-2-SG-2",0.061334021,"SG",8487.07946,13.1069731905688,8.97881585117673,4.98182438367901,5040.33272038109,7357.70806892352,2796.5884215076
"81","Tsawwassen","BC-TSW-3-SG-3",0.061334021,"SG",8487.07946,13.489347937861,8.91146872861377,4.80047226510115,5002.52685476318,7572.35730354078,2694.78490617448
"82","Tsawwassen","BC-TSW-4-BA-4",0.061334021,"BA",8487.07946,9.45727864167955,6.80448863486155,3.93598283283736,3819.75611040727,5308.92177470947,2209.49659599138
"83","Tsawwassen","BC-TSW-5-BA-5",0.061334021,"BA",8487.07946,11.7875896136802,8.3632229317629,4.77941260483052,4694.76453125849,6617.0611591806,2682.96289127836
"84","Tsawwassen","BC-TSW-7-BA-7",0.061334021,"BA",8487.07946,6.07596496471123,3.75783230001042,1.92254544239286,2109.49031736353,3410.79330806296,1079.23682368898
