"","X.1","X","X.x","Site","CoreName_2","Extracted_IntervalStart_Depth_cm","Extracted_IntervalEnd_Depth_cm","Corrected_DBD_g_cm3","Corrected_Sample_Thickness_cm","Province","Region","OC_Per","Study","Percent.Sand.Fraction","Percent.Gravel.Fraction","Core.Number","Type","Coast","Percent.Silt.Fraction","SiteName2.x","Corrected_Midpoint_cm","SiteCode","Watercourse_NEAR_DIST.x","REI_SUM","REI_Scaled","REI_Raw","c_dens","estCfactorS","meanCF","sdCF","conversion","consistent.with.Matts.data","CF_final","corr_SD","corr_ED","corr_thickness","corr_segment_midpoint"
"100",104,104,104,"Mason's Island Shallow","NS-MAs-3-SG-3",5,10,0.3,5,"NS","Atlantic",4.944,"Christensen",75.1,0,3,"SG","Atlantic",25,"Mason's Island Shallow",7.5,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.014832,1,"1",0,"1","y",1,5,10,5,7.5
"101",105,105,105,"Mason's Island Shallow","NS-MAs-3-SG-3",50,54.7,0.3,4.7,"NS","Atlantic",5.433,"Christensen",69.3,0,3,"SG","Atlantic",30.7,"Mason's Island Shallow",52.35,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.016299,1,"1",0,"1","y",1,50,54.7,4.7,52.35
"102",106,106,106,"Mason's Island Shallow","NS-MAs-4-BA-4",0,2,0.9,2.2,"NS","Atlantic",5.522,"Christensen",72.8,0,4,"BA","Atlantic",27.1,"Mason's Island Shallow",1.1,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.049698,0,"0.905441988007544",0.00319444261938632,"1","not sure",1,0,2,2,1
"103",107,107,107,"Mason's Island Shallow","NS-MAs-4-BA-4",10,20,0.9,11,"NS","Atlantic",6.465,"Christensen",69.7,0,4,"BA","Atlantic",30.3,"Mason's Island Shallow",16.6,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.058185,0.900900900900901,"0.905441988007544",0.00319444261938632,"1","not sure",1,10,20,10,15
"104",108,108,108,"Mason's Island Shallow","NS-MAs-4-BA-4",2,5,0.9,3.3,"NS","Atlantic",6.2,"Christensen",72.5,0,4,"BA","Atlantic",27.5,"Mason's Island Shallow",3.85,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.0558,0.909090909090909,"0.905441988007544",0.00319444261938632,"1","not sure",1,2,5,3,3.5
"105",109,109,109,"Mason's Island Shallow","NS-MAs-4-BA-4",20,30,0.9,11.1,"NS","Atlantic",4.893,"Christensen",70.8,0,4,"BA","Atlantic",29.2,"Mason's Island Shallow",27.65,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.044037,0.904977375565611,"0.905441988007544",0.00319444261938632,"1","not sure",1,20,30,10,25
"106",110,110,110,"Mason's Island Shallow","NS-MAs-4-BA-4",30,40,0.9,11,"NS","Atlantic",4.209,"Christensen",74.6,0,4,"BA","Atlantic",25.4,"Mason's Island Shallow",38.7,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.037881,0.903614457831325,"0.905441988007544",0.00319444261938632,"1","not sure",1,30,40,10,35
"107",111,111,111,"Mason's Island Shallow","NS-MAs-4-BA-4",40,50.2,0.9,11.3,"NS","Atlantic",4.522,"Christensen",77.1,0,4,"BA","Atlantic",23,"Mason's Island Shallow",49.85,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.040698,0.904977375565611,"0.905441988007544",0.00319444261938632,"1","not sure",1,40,50.2,10.2,45.1
"108",112,112,112,"Mason's Island Shallow","NS-MAs-4-BA-4",5,10,0.9,5.6,"NS","Atlantic",6.433,"Christensen",72.8,0,4,"BA","Atlantic",27.3,"Mason's Island Shallow",8.3,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.057897,0.909090909090909,"0.905441988007544",0.00319444261938632,"1","not sure",1,5,10,5,7.5
"109",113,113,113,"Mason's Island Shallow","NS-MAs-5-BA-5",0,2,0.9,2.3,"NS","Atlantic",5.604,"Christensen",78.7,0,5,"BA","Atlantic",21.4,"Mason's Island Shallow",1.15,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.050436,0,"0.874537119867913",0.00285513110577865,"0.849557522","not sure",0.849557522,0,1.699115044,1.699115044,0.849557522
"110",114,114,114,"Mason's Island Shallow","NS-MAs-5-BA-5",10,20,0.9,11.5,"NS","Atlantic",5.858,"Christensen",66.9,0,5,"BA","Atlantic",33.1,"Mason's Island Shallow",17.15,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.052722,0.87719298245614,"0.874537119867913",0.00285513110577865,"0.849557522","not sure",0.849557522,8.49557522,16.99115044,8.49557522,12.74336283
"111",115,115,115,"Mason's Island Shallow","NS-MAs-5-BA-5",2,5,0.9,3.4,"NS","Atlantic",6.101,"Christensen",71.4,0,5,"BA","Atlantic",28.7,"Mason's Island Shallow",4,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.054909,0.869565217391304,"0.874537119867913",0.00285513110577865,"0.849557522","not sure",0.849557522,1.699115044,4.24778761,2.548672566,2.973451327
"112",116,116,116,"Mason's Island Shallow","NS-MAs-5-BA-5",20,30,0.9,11.4,"NS","Atlantic",6.392,"Christensen",67.9,0,5,"BA","Atlantic",32.2,"Mason's Island Shallow",28.6,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.057528,0.873362445414847,"0.874537119867913",0.00285513110577865,"0.849557522","not sure",0.849557522,16.99115044,25.48672566,8.49557522,21.23893805
"113",117,117,117,"Mason's Island Shallow","NS-MAs-5-BA-5",30,40,0.9,11.4,"NS","Atlantic",6.658,"Christensen",70.3,0,5,"BA","Atlantic",29.6,"Mason's Island Shallow",40,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.059922,0.87463556851312,"0.874537119867913",0.00285513110577865,"0.849557522","not sure",0.849557522,25.48672566,33.98230088,8.49557522,29.73451327
"114",118,118,118,"Mason's Island Shallow","NS-MAs-5-BA-5",40,49,0.9,10.3,"NS","Atlantic",6.453,"Christensen",67.3,0.4,5,"BA","Atlantic",32.5,"Mason's Island Shallow",50.85,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.058077,0.87527352297593,"0.874537119867913",0.00285513110577865,"0.849557522","not sure",0.849557522,33.98230088,41.628318578,7.646017698,37.805309729
"115",119,119,119,"Mason's Island Shallow","NS-MAs-5-BA-5",5,10,0.9,5.7,"NS","Atlantic",5.512,"Christensen",75.2,0,5,"BA","Atlantic",24.8,"Mason's Island Shallow",8.55,"MAs",12230.32955,8.14494e+43,0.003733477,420.4247518,0.049608,0.87719298245614,"0.874537119867913",0.00285513110577865,"0.849557522","not sure",0.849557522,4.24778761,8.49557522,4.24778761,6.371681415
"116",120,120,120,"Parksville","BC-PAR-2-SG-2",2,5,0.690615141,5.83,"BC","Vancouver Island",0.087,"Christensen",100,0,2,"SG","Pacific",0,"Parksville",6.815,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00060083517267,0.512820512820513,"0.51381094016188",0.00126513903568041,"Missing",NA,0.51381094016188,1.02762188032376,2.5690547008094,1.54143282048564,1.79833829056658
"117",121,121,121,"Parksville","BC-PAR-1-SG-1",8,13,1.073783085,7.1,"BC","Vancouver Island",0.077,"Christensen",99.9,0,1,"SG","Pacific",0,"Parksville",15.05,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00082681297545,0.695652173913043,"0.695697647271404",0.00330332613399325,"Missing",NA,0.695697647271404,5.56558117817123,9.04406941452825,3.47848823635702,7.30482529634974
"118",122,122,122,"Parksville","BC-PAR-2-SG-2",0,2,0.839703368,3.89,"BC","Vancouver Island",0.137,"Christensen",100,0,2,"SG","Pacific",0,"Parksville",1.945,"PAR",37982.6795,1.58997e+66,0.098275402,5429.014022,0.00115039361416,0,"0.51381094016188",0.00126513903568041,"Missing",NA,0.51381094016188,0,1.02762188032376,1.02762188032376,0.51381094016188
