,SiteName2,SampleName,CoreName_2,Extracted_IntervalStart_Depth_cm,Extracted_IntervalEnd_Depth_cm,Corrected_IntervalStart_Depth_cm,Corrected_IntervalEnd_Depth_cm,Corrected_DBD_g_cm3,Corrected_Sample_Thickness_cm,Province,Region,Site,OC_Per,Study,Percent.Sand.Fraction,Percent.Gravel.Fraction,Percent.Silt.Fraction,Core.Number,Corrected_Midpoint_cm,Corrected_Midpoint_cm_rounded,Prov,SiteCode,Watercourse_NEAR_FID,Watercourse_NEAR_DIST,Elevation,REI,LOI_Percent,Coast,Type
32,Cardigan,PEI-CAR-5-SG-5-2-5,PEI-CAR-5-SG-,2,5,2.4,5.9,0.892200072,3.5,PEI,Gulf of St Lawrence,Cardigan,0.341,Christensen,93.7,0,6.2,5,4.15,5,PEI ,CAR,3457,81385.10969,8,1680.311839,1.421978296,Gulf of St.Lawrence,Seagrass
33,Cardigan,PEI-CAR-5-SG-5-20-26,PEI-CAR-5-SG-,20,26,23.6,30.7,1.488848965,7.1,PEI,Gulf of St Lawrence,Cardigan,0.136,Christensen,75.8,0,24.1,5,27.15,30,PEI ,CAR,3457,81385.10969,8,1680.311839,0.642641129,Gulf of St.Lawrence,Seagrass
34,Cardigan,PEI-CAR-5-SG-5-5-10,PEI-CAR-5-SG-,5,10,5.9,11.8,1.350185544,5.9,PEI,Gulf of St Lawrence,Cardigan,0.243,Christensen,84.6,0,15.4,5,8.85,10,PEI ,CAR,3457,81385.10969,8,1680.311839,1.260451766,Gulf of St.Lawrence,Seagrass
35,Cates Park,BC-CAP-1-SG-1-0-2,BC-CAP-1-SG-1,0,2,0,3.6,1.212646918,3.6,BC,Lower Mainland,Cates Park,0.686,Christensen,93.7,0,6.3,1,1.8,5,BC ,CAP,1935,11932.15437,22,1322.051462,1.012753188,Pacific,Seagrass
36,Cates Park,BC-CAP-1-SG-1-10-20,BC-CAP-1-SG-1,10,20,17.9,35.9,1.362611782,18,BC,Lower Mainland,Cates Park,0.528,Christensen,94.3,0.4,5.5,1,26.9,30,BC ,CAP,1935,11932.15437,22,1322.051462,1.260348449,Pacific,Seagrass
37,Cates Park,BC-CAP-1-SG-1-2-5,BC-CAP-1-SG-1,2,5,3.6,9,1.000623579,5.4,BC,Lower Mainland,Cates Park,0.334,Christensen,96.4,0,3.6,1,6.3,10,BC ,CAP,1935,11932.15437,22,1322.051462,1.036075396,Pacific,Seagrass
38,Cates Park,BC-CAP-1-SG-1-20-22.3,BC-CAP-1-SG-1,20,22.3,35.9,40,1.187277326,4.1,BC,Lower Mainland,Cates Park,0.391,Christensen,95.3,0,4.6,1,37.95,40,BC ,CAP,1935,11932.15437,22,1322.051462,1.093167702,Pacific,Seagrass
39,Cates Park,BC-CAP-1-SG-1-5-10,BC-CAP-1-SG-1,5,10,9,7.9,1.194960595,-1.1,BC,Lower Mainland,Cates Park,0.281,Christensen,95.8,0,4.3,1,8.45,10,BC ,CAP,1935,11932.15437,22,1322.051462,1.252635495,Pacific,Seagrass
40,Centennial Beach,BC-CEB-1-SG-1-0-2,BC-CEB-1-SG-1,0,2,0,3.5,1.586420131,3.5,BC,Lower Mainland,Centennial Beach,0.509,Christensen,93.8,0,6.1,1,1.75,5,BC ,CEB,1935,8718.593092,-10,12570.55231,1.911709219,Pacific,Seagrass
41,Centennial Beach,BC-CEB-1-SG-1-10-20,BC-CEB-1-SG-1,10,20,17.7,35.4,1.162008841,17.7,BC,Lower Mainland,Centennial Beach,0.16,Christensen,100,0,0,1,26.55,30,BC ,CEB,1935,8718.593092,-10,12570.55231,0.796713557,Pacific,Seagrass
42,Centennial Beach,BC-CEB-1-SG-1-2-5,BC-CEB-1-SG-1,2,5,3.5,8.8,1.191315496,5.3,BC,Lower Mainland,Centennial Beach,0.303,Christensen,96.9,0,3,1,6.15,10,BC ,CEB,1935,8718.593092,-10,12570.55231,1.346633416,Pacific,Seagrass
43,Centennial Beach,BC-CEB-1-SG-1-20-31,BC-CEB-1-SG-1,20,31,35.4,54.8,1.349940903,19.4,BC,Lower Mainland,Centennial Beach,0.193,Christensen,98.7,0,1.2,1,45.1,50,BC ,CEB,1935,8718.593092,-10,12570.55231,0.646283868,Pacific,Seagrass
44,Centennial Beach,BC-CEB-1-SG-1-5-10,BC-CEB-1-SG-1,5,10,8.8,7.7,1.179417214,-1.1,BC,Lower Mainland,Centennial Beach,0.197,Christensen,100,0,0,1,8.25,10,BC ,CEB,1935,8718.593092,-10,12570.55231,1.033135946,Pacific,Seagrass
45,Crescent Beach,BC-CRB-1-SG-1-0-2,BC-CRB-1-SG-1,0,2,0,2.7,1.017939132,2.7,BC,Lower Mainland,Crescent Beach,0.169,Christensen,100,0,0,1,1.35,5,BC ,CRB,1935,13699.79929,-1,10063.02181,0.757113201,Pacific,Seagrass
46,Crescent Beach,BC-CRB-1-SG-1-10-20,BC-CRB-1-SG-1,10,20,13.6,27.1,0.884921464,13.5,BC,Lower Mainland,Crescent Beach,0.101,Christensen,100,0,0,1,20.35,25,BC ,CRB,1935,13699.79929,-1,10063.02181,0.75215783,Pacific,Seagrass
47,Crescent Beach,BC-CRB-1-SG-1-2-5,BC-CRB-1-SG-1,2,5,2.7,6.8,0.818602293,4.1,BC,Lower Mainland,Crescent Beach,0.146,Christensen,100,0,0,1,4.75,5,BC ,CRB,1935,13699.79929,-1,10063.02181,0.705112062,Pacific,Seagrass
48,Crescent Beach,BC-CRB-1-SG-1-20-30,BC-CRB-1-SG-1,20,30,27.1,40.7,1.11513166,13.6,BC,Lower Mainland,Crescent Beach,0.088,Christensen,100,0,0,1,33.9,35,BC ,CRB,1935,13699.79929,-1,10063.02181,0.673232764,Pacific,Seagrass
49,Crescent Beach,BC-CRB-1-SG-1-30-37.8,BC-CRB-1-SG-1,30,37.8,40.7,51.3,0.859495097,10.6,BC,Lower Mainland,Crescent Beach,0.088,Christensen,100,0,0,1,46,50,BC ,CRB,1935,13699.79929,-1,10063.02181,0.662831416,Pacific,Seagrass
50,Crescent Beach,BC-CRB-1-SG-1-5-10,BC-CRB-1-SG-1,5,10,6.8,3.6,0.830792247,-3.2,BC,Lower Mainland,Crescent Beach,0.103,Christensen,100,0,0,1,5.2,10,BC ,CRB,1935,13699.79929,-1,10063.02181,0.660388896,Pacific,Seagrass
51,Fulmore,BC-FUL-2-SG-2-0-2,BC-FUL-2-SG-2,0,2,0,3.8,0.567989721,3.8,BC,Central Coast,Fulmore,1.516,Christensen,66.9,0,33.1,2,1.9,5,BC ,FUL,3896,58527.17962,-20,729.1859637,4.810568295,Pacific,Seagrass
52,Fulmore,BC-FUL-2-SG-2-10-20,BC-FUL-2-SG-2,10,20,18.8,37.7,0.731678098,18.9,BC,Central Coast,Fulmore,0.931,Christensen,71.8,0,28.2,2,28.25,30,BC ,FUL,3896,58527.17962,-20,729.1859637,3.187250996,Pacific,Seagrass
53,Fulmore,BC-FUL-2-SG-2-2-5,BC-FUL-2-SG-2,2,5,3.8,9.4,0.629111975,5.6,BC,Central Coast,Fulmore,1.028,Christensen,72.4,0,27.7,2,6.6,10,BC ,FUL,3896,58527.17962,-20,729.1859637,3.545836422,Pacific,Seagrass
54,Fulmore,BC-FUL-2-SG-2-20-29,BC-FUL-2-SG-2,20,29,37.7,54.6,0.668203714,16.9,BC,Central Coast,Fulmore,1.149,Christensen,70.4,0,29.5,2,46.15,50,BC ,FUL,3896,58527.17962,-20,729.1859637,3.221778222,Pacific,Seagrass
55,Fulmore,BC-FUL-4-SG-4-0-2,BC-FUL-4-SG-4,0,2,0,2.66,1.025639584,2.66,BC,Central Coast,Fulmore,1.218,Christensen,66.3,0,33.8,4,1.33,5,BC ,FUL,3896,58527.17962,-20,729.1859637,3.463476071,Pacific,Seagrass
