,Coast,Site,CoreName_2,Type,Watercourse_NEAR_DIST.x,Percent.Silt.Fraction,c_100,c_60,c_25,c_60_m2,c_100_m2,c_25_m2
72,Pacific,Sooke,BC-SOO-5-SG-5,SG,31277.59156,6.875,3.157519076,2.311775509,1.163537555,1297.734349,1772.499512,653.1614532
73,Pacific,Sooke,BC-SOO-7-BA-7,BA,31277.59156,4.7,2.659177384,1.827213013,0.862523954,1025.721174,1492.751272,484.1849729
74,Pacific,TFN Intercauseway,BC-TFN-1-SG-1,SG,7931.438082,15.76,4.965135887,4.117716328,2.396395718,2311.5142,2787.220196,1345.236604
75,Pacific,TFN Intercauseway,BC-TFN-2-SG-2,SG,7931.438082,11.36666667,4.259314818,3.420263409,1.910621558,1919.993221,2391.001687,1072.543252
76,Pacific,TFN Intercauseway,BC-TFN-3-SG-3,SG,7931.438082,6.18,3.590810871,3.100266333,1.908590523,1740.36021,2015.731454,1071.403114
77,Pacific,TFN Intercauseway,BC-TFN-4-BA-4,BA,7931.438082,18.125,5.32089937,4.69286861,2.98550087,2634.380702,2986.930976,1675.935666
78,Pacific,TFN Intercauseway,BC-TFN-5-BA-5,BA,7931.438082,14.85,4.770316503,4.111552428,2.524716485,2308.054044,2677.856719,1417.270531
79,Pacific,Tsawwassen,BC-TSW-1-SG-1,SG,8487.07946,21.8,17.12520625,9.567680018,3.750068086,5370.896503,9613.376511,2105.131811
80,Pacific,Tsawwassen,BC-TSW-2-SG-2,SG,8487.07946,18,13.10696698,8.978813331,4.225813678,5040.331305,7357.704582,2372.195544
81,Pacific,Tsawwassen,BC-TSW-3-SG-3,SG,8487.07946,19.04,13.48934249,8.911466311,4.051176663,5002.525498,7572.354248,2274.161607
82,Pacific,Tsawwassen,BC-TSW-4-BA-4,BA,8487.07946,11.525,9.457280207,6.804490043,3.363327905,3819.756901,5308.922653,1888.032004
83,Pacific,Tsawwassen,BC-TSW-5-BA-5,BA,8487.07946,18.76,11.78759152,8.363224324,4.075254596,4694.765313,6617.062229,2287.677955
84,Pacific,Tsawwassen,BC-TSW-7-BA-7,BA,8487.07946,2.54,6.075968576,3.757833506,1.608290613,2109.490994,3410.795335,902.8272695
